127.0.0.1 - - [07/Apr/2023:10:42:19 +0900] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:42:19 +0900] "GET /front01_basic/test.html HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:42:19 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:46:18 +0900] "GET /front01_basic/test.html HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:46:22 +0900] "GET /front01_basic/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:46:23 +0900] "GET /front01_basic/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:46:23 +0900] "GET /front01_basic/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:46:23 +0900] "GET /front01_basic/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:46:23 +0900] "GET /front01_basic/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:46:23 +0900] "GET /front01_basic/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:46:29 +0900] "GET /front01_basic/test.html HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:46:30 +0900] "GET /front01_basic/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:46:32 +0900] "GET /front01_basic/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:46:33 +0900] "GET /front01_basic/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:10:46:33 +0900] "GET /front01_basic/test.html HTTP/1.1" 304 -
